Funktionsattributname,label,Funktionsattributwert,unit,pflichtfeld,nrv,category,Beschreibung (Info),nichteingepflegt,calc,textfield
inhalt,Inhalt,,g/ml/kapsel/tablette,TRUE,,inhalt,z.b. 300 g oder 120 Kapseln,,,
inhalt_einheit,Inhalt Einheit,,g/ml/kapsel/tablette,,,inhalt,,,,
portion,Portion,,anzahl,,,inhalt,z.B. 30 gramm,,,
anzahl_kapseln,Anzahl Kapseln,,menge,,,inhalt,,,,
brennwert,Brennwert,,Kilojoule (kj),,,makro,in Kilo Joule,,TRUE,
fett,Fett,,g,,,makro,,,TRUE,
gesaetigte,Gesaetigte Fettsaeuren,,g,,,makro,,,TRUE,
kohlenhydrate,Kohlenhydrate,,g,,,makro,,,TRUE,
zucker,davon Zucker,,g,,,makro,,,TRUE,
eiweiss,Eiweiss/Protein,,g,,,makro,,,TRUE,
salz,Salz / Natrium,,g,,,makro,,,TRUE,
ballaststoffe,Ballaststoffe,,g,,,makro,,,TRUE,
geschmack,Geschmack,,,,,,Ist für den SEO wichtig,,,
verzehr,Verzehrempfehlung,,,,,,,,,TRUE
lagerung,Aufbewahrung,,,,,,,,,TRUE
bezeichnung,Bezeichnung,,,,,,verkehrsbezeichnung,,,TRUE
zutaten,Zutaten,,,,,,,,,TRUE
alergene,Alergene,,,,,,,,,TRUE
vitamina,Vitamin A,,&micro;g,,800,mineralvitamin,Vitamin A,,TRUE,
vitamind,Vitamin D,,&micro;g,,5,mineralvitamin,Vitamin D,,TRUE,
vitamine,Vitamin E,,mg,,12,mineralvitamin,,,TRUE,
vitamink,Vitamin K,,&micro;g,,75,mineralvitamin,,,TRUE,
vitaminc,Vitamin C,,mg,,80,mineralvitamin,,,TRUE,
thiamin,Thiamin (Vitamin B1),,mg,,1.1,mineralvitamin,,,TRUE,
riboflavin,Riboflavin (Vitamin B2),,mg ,,1.4,mineralvitamin,,,TRUE,
niacin,Niacin,,mg,,16,mineralvitamin,,,TRUE,
vitaminb6,Vitamin B6,,mg,,1.4,mineralvitamin,,,TRUE,
folsaeure,Folsa&aaum;lre,,&micro;g,,200,mineralvitamin,,,TRUE,
vitaminb12,Vitamin B12,,&micro;g,,2.5,mineralvitamin,,,TRUE,
biotin,Biotin,,&micro;g,,50,mineralvitamin,,,TRUE,
pantothensaeure,Pantothensäure,,mg,,6,mineralvitamin,,,TRUE,
kalium,Kalium,,mg,,2000,mineralvitamin,,,TRUE,
chlorid,Chlorid,,mg,,800,mineralvitamin,,,TRUE,
calcium,Calcium,,mg,,800,mineralvitamin,,,TRUE,
phosphor,Phosphor,,mg,,,mineralvitamin,,,TRUE,
magnesium,Magnesium,,mg,,375,mineralvitamin,,,TRUE,
eisen,Eisen,,mg,,14,mineralvitamin,,,TRUE,
zink,Zink,,mg,,10,mineralvitamin,,,TRUE,
kupfer,Kupfer,,mg,,1,mineralvitamin,,,TRUE,
mangan,Mangan,,mg,,2,mineralvitamin,,,TRUE,
fluorid,Fluorid,,mg,,3.5,mineralvitamin,,,TRUE,
selen,Selen,,&micro;g,,55,mineralvitamin,,,TRUE,
chrom,Chrom,,&micro;g,,40,mineralvitamin,,,TRUE,
molybdaen,Molybdän,,&micro;g,,50,mineralvitamin,,,TRUE,
jod,Jod,,&micro;g,,150,mineralvitamin,,,TRUE,
leucin,L-Leucin (BCAA),,g,,,amino,,,TRUE,
isoleucin,L-Isoleucin (BCAA),,g,,,amino,,,TRUE,
valin,L-Valin (BCAA),,g,,,amino,,,TRUE,
lysin,L-Lysin,,g,,,amino,,,TRUE,
threonin,L-Threonin,,g,,,amino,,,TRUE,
methionin,L-Methionin,,g,,,amino,,,TRUE,
phenylalanin,L-Phenylalanin,,g,,,amino,,,TRUE,
tryptophan,L-Tryptophan,,g,,,amino,,,TRUE,
arginin,L-Arginin,,g,,,amino,,,TRUE,
cystein,L-Cystein,,g,,,amino,,,TRUE,
alanin,L-Alanin,,g,,,amino,,,TRUE,
asparaginsaeure,L-Asparaginsäure,,g,,,amino,,,TRUE,
glutaminsaeure,L-Glutaminsäure,,g,,,amino,,,TRUE,
glycin,L-Glycin,,g,,,amino,,,TRUE,
histidin,L-Histidin,,g,,,amino,,,TRUE,
prolin,L-Prolin,,g,,,amino,,,TRUE,
serin,L-Serin,,g,,,amino,,,TRUE,
tyrosin,L-Tyrosin,,g,,,amino,,,TRUE,
glutamin,L-Glutamin,,g,,,amino,,,TRUE,
creatin,Creatin,,g,,,,,,TRUE,
betaalanine,Beta-Alanine,,g,,,,,,TRUE,
hinweis,Hinweis,,,,,,,,,
zubereitung,Zubereitung,,,,,,,,,
taurin,Taurin,,g,,,,,,TRUE,
coffein,Coffein,,mg,,,,,,TRUE,
citrulin,Citrullin Malat,,g,,,,,,TRUE,
youtube,Youtube,,,,,,,,,
guarana,Guarana,,g,,,,,,TRUE,
fischoel,Fischöl,,mg,,,,,,TRUE,
gruentee,Grüntee,,g,,,,,,TRUE,
carnitin,L-Carnitin,,g,,,,,,TRUE,
hmb,HMB,,g,,,,,,TRUE,
etikett,Etikett,,,,,,,,,
Herstellerlink,Herstellerlink,,,,,,,,,
aakg,AAKG,,g,,,,,,TRUE,
glutenfrei,Gluten Frei,,,,,,,,,
vegetarisch,Vegetarisch,,,,,,,,,
vegan,Vegan,,,,,,,,,
laktosefrei,Laktosefrei,,,,,,,,,
mhd,Mindesthaltbarkeit,,,,,,,,,
herkunftsland,Herkunftsland,,,,,,,,,
